  0.94691106E+000 -0.23835086E-001 -0.94691106E+000  0.23835100E-001  0.16592723E+001  0.71513615E-001  0.16592723E+001  0.71513615E-001  0.21491136E-002  0.15280128E-002  0.21492360E-002  0.15422374E-002  0.55282842E+000 -0.19410357E-002 -0.71641731E-003 -0.51407912E-003  0.00000000E+000 -0.13847620E-006
  0.94679138E+000 -0.23463175E-001 -0.94679138E+000  0.23463179E-001  0.16596314E+001  0.70397912E-001  0.16596314E+001  0.70397912E-001  0.21567290E-002  0.15193913E-002  0.21569188E-002  0.15335485E-002  0.55281883E+000 -0.19406879E-002 -0.71897825E-003 -0.51118282E-003  0.00000000E+000 -0.34198546E-007
  0.94667176E+000 -0.23165611E-001 -0.94667176E+000  0.23165609E-001  0.16599903E+001  0.69505248E-001  0.16599903E+001  0.69505249E-001  0.21643625E-002  0.15110405E-002  0.21646186E-002  0.15251314E-002  0.55280921E+000 -0.19404363E-002 -0.72154484E-003 -0.50837713E-003  0.00000000E+000  0.12308335E-007
  0.94655199E+000 -0.22894603E-001 -0.94655199E+000  0.22894599E-001  0.16603497E+001  0.68692254E-001  0.16603497E+001  0.68692255E-001  0.21720151E-002  0.15027743E-002  0.21723362E-002  0.15168002E-002  0.55279956E+000 -0.19402193E-002 -0.72411738E-003 -0.50560007E-003  0.00000000E+000  0.37907065E-007
  0.94643199E+000 -0.22632664E-001 -0.94643199E+000  0.22632659E-001  0.16607097E+001  0.67906469E-001  0.16607097E+001  0.67906470E-001  0.21796871E-002  0.14945249E-002  0.21800720E-002  0.15084869E-002  0.55278988E+000 -0.19400143E-002 -0.72669599E-003 -0.50282896E-003  0.00000000E+000  0.56095558E-007
  0.94631174E+000 -0.22373342E-001 -0.94631174E+000  0.22373335E-001  0.16610705E+001  0.67128532E-001  0.16610705E+001  0.67128534E-001  0.21873786E-002  0.14862670E-002  0.21878262E-002  0.15001663E-002  0.55278017E+000 -0.19398129E-002 -0.72928072E-003 -0.50005543E-003  0.00000000E+000  0.71864123E-007
  0.94619124E+000 -0.22114230E-001 -0.94619124E+000  0.22114221E-001  0.16614320E+001  0.66351225E-001  0.16614320E+001  0.66351227E-001  0.21950897E-002  0.14779912E-002  0.21955988E-002  0.14918290E-002  0.55277042E+000 -0.19396120E-002 -0.73187159E-003 -0.49727633E-003  0.00000000E+000  0.87081922E-007
  0.94607049E+000 -0.21854416E-001 -0.94607049E+000  0.21854406E-001  0.16617943E+001  0.65571815E-001  0.16617943E+001  0.65571817E-001  0.22028204E-002  0.14696939E-002  0.22033899E-002  0.14834714E-002  0.55276065E+000 -0.19394105E-002 -0.73446862E-003 -0.49449045E-003  0.00000000E+000  0.10246599E-006
  0.94594949E+000 -0.21593519E-001 -0.94594949E+000  0.21593507E-001  0.16621574E+001  0.64789152E-001  0.16621574E+001  0.64789155E-001  0.22105709E-002  0.14613736E-002  0.22111995E-002  0.14750919E-002  0.55275085E+000 -0.19392078E-002 -0.73707181E-003 -0.49169730E-003  0.00000000E+000  0.11832579E-006
  0.94582827E+000 -0.21331266E-001 -0.94582827E+000  0.21331253E-001  0.16625211E+001  0.64002425E-001  0.16625211E+001  0.64002427E-001  0.22183410E-002  0.14530291E-002  0.22190276E-002  0.14666895E-002  0.55274101E+000 -0.19390036E-002 -0.73968117E-003 -0.48889649E-003  0.00000000E+000  0.13488601E-006
