  -0.18420681E+02   0.10000000E+01   0.50000000E+00  -0.18293746E-07  -0.36547612E-22
  -0.18409646E+02   0.99999991E+00   0.50000009E+00  -0.18496726E-07  -0.37777716E-22
  -0.18398612E+02   0.99999983E+00   0.50000017E+00  -0.18701959E-07  -0.39049222E-22
  -0.18387577E+02   0.99999974E+00   0.50000026E+00  -0.18909469E-07  -0.40363524E-22
  -0.18376543E+02   0.99999966E+00   0.50000034E+00  -0.19119281E-07  -0.41722062E-22
  -0.18365508E+02   0.99999958E+00   0.50000042E+00  -0.19331420E-07  -0.43126324E-22
  -0.18354474E+02   0.99999950E+00   0.50000050E+00  -0.19545914E-07  -0.44577851E-22
  -0.18343439E+02   0.99999942E+00   0.50000058E+00  -0.19762787E-07  -0.46078232E-22
  -0.18332405E+02   0.99999934E+00   0.50000066E+00  -0.19982067E-07  -0.47629112E-22
  -0.18321370E+02   0.99999927E+00   0.50000073E+00  -0.20203780E-07  -0.49232190E-22
  -0.18310336E+02   0.99999919E+00   0.50000081E+00  -0.20427952E-07  -0.50889224E-22
  -0.18299301E+02   0.99999912E+00   0.50000088E+00  -0.20654612E-07  -0.52602029E-22
  -0.18288266E+02   0.99999905E+00   0.50000095E+00  -0.20883787E-07  -0.54372483E-22
  -0.18277232E+02   0.99999898E+00   0.50000102E+00  -0.21115504E-07  -0.56202526E-22
  -0.18266197E+02   0.99999891E+00   0.50000109E+00  -0.21349792E-07  -0.58094163E-22
  -0.18255163E+02   0.99999884E+00   0.50000116E+00  -0.21586680E-07  -0.60049468E-22
  -0.18244128E+02   0.99999878E+00   0.50000122E+00  -0.21826196E-07  -0.62070583E-22
  -0.18233094E+02   0.99999871E+00   0.50000129E+00  -0.22068369E-07  -0.64159723E-22
  -0.18222059E+02   0.99999865E+00   0.50000135E+00  -0.22313230E-07  -0.66319179E-22
  -0.18211025E+02   0.99999858E+00   0.50000142E+00  -0.22560807E-07  -0.68551316E-22
  -0.18199990E+02   0.99999852E+00   0.50000148E+00  -0.22811131E-07  -0.70858580E-22
  -0.18188956E+02   0.99999846E+00   0.50000154E+00  -0.23064232E-07  -0.73243502E-22
  -0.18177921E+02   0.99999840E+00   0.50000160E+00  -0.23320142E-07  -0.75708693E-22
  -0.18166887E+02   0.99999834E+00   0.50000166E+00  -0.23578891E-07  -0.78256856E-22
  -0.18155852E+02   0.99999828E+00   0.50000172E+00  -0.23840511E-07  -0.80890784E-22
  -0.18144818E+02   0.99999822E+00   0.50000178E+00  -0.24105033E-07  -0.83613362E-22
  -0.18133783E+02   0.99999816E+00   0.50000184E+00  -0.24372491E-07  -0.86427575E-22
  -0.18122749E+02   0.99999810E+00   0.50000190E+00  -0.24642916E-07  -0.89336508E-22
  -0.18111714E+02   0.99999804E+00   0.50000196E+00  -0.24916341E-07  -0.92343347E-22
  -0.18100680E+02   0.99999799E+00   0.50000201E+00  -0.25192800E-07  -0.95451388E-22
  -0.18089645E+02   0.99999793E+00   0.50000207E+00  -0.25472327E-07  -0.98664038E-22
  -0.18078611E+02   0.99999788E+00   0.50000212E+00  -0.25754955E-07  -0.10198482E-21
  -0.18067576E+02   0.99999782E+00   0.50000218E+00  -0.26040718E-07  -0.10541736E-21
