  0.10000000E+001  0.00000000E+000 -0.19949144E+001  0.00000000E+000  0.15000000E+001  0.00000000E+000  0.15000000E+001  0.00000000E+000  0.54881237E-007  0.00000000E+000  0.54881237E-007  0.00000000E+000  0.50000000E+000  0.00000000E+000 -0.18293746E-007  0.00000000E+000  0.99891001E-015  0.00000000E+000
  0.99999991E+000 -0.79206089E-005 -0.99999991E+000  0.79206089E-005  0.15000003E+001  0.23761827E-004  0.15000003E+001  0.23761827E-004  0.55490179E-007  0.55490145E-007  0.55490179E-007  0.55490145E-007  0.50000009E+000  0.79206089E-005 -0.18496726E-007 -0.18496715E-007  0.20401739E-029 -0.44345706E-022
  0.99999983E+000 -0.77520405E-005 -0.99999983E+000  0.77520405E-005  0.15000005E+001  0.23256122E-004  0.15000005E+001  0.23256122E-004  0.56105877E-007  0.56105814E-007  0.56105877E-007  0.56105814E-007  0.50000017E+000  0.77520406E-005 -0.18701959E-007 -0.18701938E-007  0.40180353E-044 -0.19798897E-026
  0.99999974E+000 -0.75899523E-005 -0.99999974E+000  0.75899523E-005  0.15000008E+001  0.22769857E-004  0.15000008E+001  0.22769857E-004  0.56728406E-007  0.56728313E-007  0.56728406E-007  0.56728313E-007  0.50000026E+000  0.75899523E-005 -0.18909469E-007 -0.18909438E-007  0.82064356E-059 -0.20018578E-026
  0.99999966E+000 -0.74341440E-005 -0.99999966E+000  0.74341440E-005  0.15000010E+001  0.22302432E-004  0.15000010E+001  0.22302432E-004  0.57357842E-007  0.57357719E-007  0.57357842E-007  0.57357719E-007  0.50000034E+000  0.74341440E-005 -0.19119281E-007 -0.19119240E-007  0.17141753E-073 -0.20240696E-026
  0.99999958E+000 -0.72844225E-005 -0.99999958E+000  0.72844225E-005  0.15000013E+001  0.21853267E-004  0.15000013E+001  0.21853267E-004  0.57994261E-007  0.57994109E-007  0.57994261E-007  0.57994109E-007  0.50000042E+000  0.72844225E-005 -0.19331420E-007 -0.19331370E-007  0.36356868E-088 -0.20465279E-026
  0.99999950E+000 -0.71406007E-005 -0.19949139E+001  0.71429368E-005  0.15000015E+001  0.21421802E-004  0.15000015E+001  0.21421802E-004  0.58637742E-007  0.58637560E-007  0.58637742E-007  0.58637560E-007  0.50000050E+000  0.71406007E-005 -0.19545914E-007 -0.19545853E-007  0.11403368E-014 -0.23455073E-007
  0.99999942E+000 -0.70024979E-005 -0.99999935E+000  0.70024979E-005  0.15000017E+001  0.21007494E-004  0.15000017E+001  0.21007494E-004  0.59288362E-007  0.59288151E-007  0.59288362E-007  0.59288151E-007  0.50000058E+000  0.70024979E-005 -0.19762787E-007 -0.19762717E-007 -0.86167808E-022  0.17528969E-014
  0.99999934E+000 -0.68699393E-005 -0.99999934E+000  0.68699393E-005  0.15000020E+001  0.20609818E-004  0.15000020E+001  0.20609818E-004  0.59946201E-007  0.59945960E-007  0.59946201E-007  0.59945960E-007  0.50000066E+000  0.68699393E-005 -0.19982067E-007 -0.19981987E-007  0.48100903E-029 -0.96779136E-022
  0.99999927E+000 -0.67427562E-005 -0.99999927E+000  0.67427562E-005  0.15000022E+001  0.20228268E-004  0.15000022E+001  0.20228268E-004  0.60611339E-007  0.60611068E-007  0.60611339E-007  0.60611068E-007  0.50000073E+000  0.67427562E-005 -0.20203780E-007 -0.20203689E-007  0.19137914E-043 -0.21388805E-026
  0.99999919E+000 -0.66207851E-005 -0.99999919E+000  0.66207851E-005  0.15000024E+001  0.19862355E-004  0.15000024E+001  0.19862355E-004  0.61283857E-007  0.61283555E-007  0.61283857E-007  0.61283555E-007  0.50000081E+000  0.66207851E-005 -0.20427952E-007 -0.20427852E-007  0.78964196E-058 -0.21626126E-026
