  0.15000000E+001  0.15000003E+001  0.15000005E+001  0.15000008E+001  0.15000010E+001  0.15000013E+001
  0.15000015E+001  0.15000017E+001  0.15000020E+001  0.15000022E+001  0.15000024E+001  0.15000026E+001
  0.15000029E+001  0.15000031E+001  0.15000033E+001  0.15000035E+001  0.15000037E+001  0.15000039E+001
  0.15000041E+001  0.15000043E+001  0.15000044E+001  0.15000046E+001  0.15000048E+001  0.15000050E+001
  0.15000052E+001  0.15000053E+001  0.15000055E+001  0.15000057E+001  0.15000059E+001  0.15000060E+001
  0.15000062E+001  0.15000064E+001  0.15000065E+001  0.15000067E+001  0.15000069E+001  0.15000070E+001
  0.15000072E+001  0.15000073E+001  0.15000075E+001  0.15000077E+001  0.15000078E+001  0.15000080E+001
  0.15000081E+001  0.15000083E+001  0.15000085E+001  0.15000086E+001  0.15000088E+001  0.15000089E+001
  0.15000091E+001  0.15000092E+001  0.15000094E+001  0.15000095E+001  0.15000097E+001  0.15000098E+001
  0.15000100E+001  0.15000102E+001  0.15000103E+001  0.15000105E+001  0.15000106E+001  0.15000108E+001
  0.15000109E+001  0.15000111E+001  0.15000113E+001  0.15000114E+001  0.15000116E+001  0.15000117E+001
  0.15000119E+001  0.15000121E+001  0.15000122E+001  0.15000124E+001  0.15000125E+001  0.15000127E+001
  0.15000129E+001  0.15000130E+001  0.15000132E+001  0.15000134E+001  0.15000136E+001  0.15000137E+001
  0.15000139E+001  0.15000141E+001  0.15000142E+001  0.15000144E+001  0.15000146E+001  0.15000148E+001
  0.15000150E+001  0.15000151E+001  0.15000153E+001  0.15000155E+001  0.15000157E+001  0.15000159E+001
  0.15000161E+001  0.15000163E+001  0.15000165E+001  0.15000167E+001  0.15000169E+001  0.15000171E+001
  0.15000173E+001  0.15000175E+001  0.15000177E+001  0.15000179E+001  0.15000181E+001  0.15000183E+001
  0.15000185E+001  0.15000187E+001  0.15000189E+001  0.15000192E+001  0.15000194E+001  0.15000196E+001
  0.15000198E+001  0.15000200E+001  0.15000203E+001  0.15000205E+001  0.15000207E+001  0.15000210E+001
  0.15000212E+001  0.15000215E+001  0.15000217E+001  0.15000220E+001  0.15000222E+001  0.15000225E+001
  0.15000227E+001  0.15000230E+001  0.15000232E+001  0.15000235E+001  0.15000238E+001  0.15000240E+001
  0.15000243E+001  0.15000246E+001  0.15000248E+001  0.15000251E+001  0.15000254E+001  0.15000257E+001
  0.15000260E+001  0.15000263E+001  0.15000266E+001  0.15000269E+001  0.15000272E+001  0.15000275E+001
  0.15000278E+001  0.15000281E+001  0.15000284E+001  0.15000287E+001  0.15000290E+001  0.15000294E+001
  0.15000297E+001  0.15000300E+001  0.15000304E+001  0.15000307E+001  0.15000310E+001  0.15000314E+001
  0.15000317E+001  0.15000321E+001  0.15000324E+001  0.15000328E+001  0.15000332E+001  0.15000335E+001
  0.15000339E+001  0.15000343E+001  0.15000347E+001  0.15000351E+001  0.15000355E+001  0.15000358E+001
  0.15000362E+001  0.15000367E+001  0.15000371E+001  0.15000375E+001  0.15000379E+001  0.15000383E+001
  0.15000387E+001  0.15000392E+001  0.15000396E+001  0.15000400E+001  0.15000405E+001  0.15000409E+001
  0.15000414E+001  0.15000419E+001  0.15000423E+001  0.15000428E+001  0.15000433E+001  0.15000437E+001
  0.15000442E+001  0.15000447E+001  0.15000452E+001  0.15000457E+001  0.15000462E+001  0.15000467E+001
  0.15000473E+001  0.15000478E+001  0.15000483E+001  0.15000489E+001  0.15000494E+001  0.15000499E+001
  0.15000505E+001  0.15000511E+001  0.15000516E+001  0.15000522E+001  0.15000528E+001  0.15000534E+001
  0.15000540E+001  0.15000546E+001  0.15000552E+001  0.15000558E+001  0.15000564E+001  0.15000570E+001
  0.15000577E+001  0.15000583E+001  0.15000589E+001  0.15000596E+001  0.15000603E+001  0.15000609E+001
  0.15000616E+001  0.15000623E+001  0.15000630E+001  0.15000637E+001  0.15000644E+001  0.15000651E+001
  0.15000658E+001  0.15000665E+001  0.15000673E+001  0.15000680E+001  0.15000688E+001  0.15000695E+001
  0.15000703E+001  0.15000711E+001  0.15000719E+001  0.15000727E+001  0.15000735E+001  0.15000743E+001
  0.15000751E+001  0.15000760E+001  0.15000768E+001  0.15000777E+001  0.15000785E+001  0.15000794E+001
  0.15000803E+001  0.15000812E+001  0.15000821E+001  0.15000830E+001  0.15000839E+001  0.15000848E+001
  0.15000858E+001  0.15000867E+001  0.15000877E+001  0.15000887E+001  0.15000896E+001  0.15000906E+001
  0.15000916E+001  0.15000927E+001  0.15000937E+001  0.15000947E+001  0.15000958E+001  0.15000968E+001
  0.15000979E+001  0.15000990E+001  0.15001001E+001  0.15001012E+001  0.15001023E+001  0.15001035E+001
  0.15001046E+001  0.15001058E+001  0.15001069E+001  0.15001081E+001  0.15001093E+001  0.15001105E+001
  0.15001118E+001  0.15001130E+001  0.15001143E+001  0.15001155E+001  0.15001168E+001  0.15001181E+001
  0.15001194E+001  0.15001207E+001  0.15001221E+001  0.15001234E+001  0.15001248E+001  0.15001262E+001
  0.15001276E+001  0.15001290E+001  0.15001304E+001  0.15001319E+001  0.15001333E+001  0.15001348E+001
  0.15001363E+001  0.15001378E+001  0.15001393E+001  0.15001409E+001  0.15001425E+001  0.15001440E+001
  0.15001456E+001  0.15001472E+001  0.15001489E+001  0.15001505E+001  0.15001522E+001  0.15001539E+001
  0.15001556E+001  0.15001573E+001  0.15001591E+001  0.15001608E+001  0.15001626E+001  0.15001644E+001
  0.15001662E+001  0.15001681E+001  0.15001699E+001  0.15001718E+001  0.15001737E+001  0.15001757E+001
  0.15001776E+001  0.15001796E+001  0.15001816E+001  0.15001836E+001  0.15001856E+001  0.15001877E+001
  0.15001898E+001  0.15001919E+001  0.15001940E+001  0.15001961E+001  0.15001983E+001  0.15002005E+001
  0.15002027E+001  0.15002050E+001  0.15002073E+001  0.15002096E+001  0.15002119E+001  0.15002142E+001
  0.15002166E+001  0.15002190E+001  0.15002214E+001  0.15002239E+001  0.15002264E+001  0.15002289E+001
  0.15002314E+001  0.15002340E+001  0.15002366E+001  0.15002392E+001  0.15002419E+001  0.15002445E+001
  0.15002472E+001  0.15002500E+001  0.15002528E+001  0.15002556E+001  0.15002584E+001  0.15002613E+001
  0.15002641E+001  0.15002671E+001  0.15002700E+001  0.15002730E+001  0.15002761E+001  0.15002791E+001
  0.15002822E+001  0.15002853E+001  0.15002885E+001  0.15002917E+001  0.15002949E+001  0.15002982E+001
  0.15003015E+001  0.15003048E+001  0.15003082E+001  0.15003116E+001  0.15003151E+001  0.15003186E+001
  0.15003221E+001  0.15003257E+001  0.15003293E+001  0.15003329E+001  0.15003366E+001  0.15003404E+001
  0.15003441E+001  0.15003480E+001  0.15003518E+001  0.15003557E+001  0.15003596E+001  0.15003636E+001
  0.15003677E+001  0.15003717E+001  0.15003759E+001  0.15003800E+001  0.15003842E+001  0.15003885E+001
  0.15003928E+001  0.15003971E+001  0.15004015E+001  0.15004060E+001  0.15004105E+001  0.15004150E+001
  0.15004196E+001  0.15004243E+001  0.15004290E+001  0.15004337E+001  0.15004385E+001  0.15004434E+001
  0.15004483E+001  0.15004533E+001  0.15004583E+001  0.15004634E+001  0.15004685E+001  0.15004737E+001
  0.15004789E+001  0.15004842E+001  0.15004896E+001  0.15004950E+001  0.15005005E+001  0.15005061E+001
  0.15005117E+001  0.15005173E+001  0.15005231E+001  0.15005288E+001  0.15005347E+001  0.15005406E+001
  0.15005466E+001  0.15005527E+001  0.15005588E+001  0.15005650E+001  0.15005712E+001  0.15005775E+001
  0.15005839E+001  0.15005904E+001  0.15005969E+001  0.15006035E+001  0.15006102E+001  0.15006170E+001
  0.15006238E+001  0.15006307E+001  0.15006377E+001  0.15006448E+001  0.15006519E+001  0.15006591E+001
  0.15006664E+001  0.15006738E+001  0.15006812E+001  0.15006888E+001  0.15006964E+001  0.15007041E+001
  0.15007119E+001  0.15007198E+001  0.15007277E+001  0.15007358E+001  0.15007439E+001  0.15007522E+001
  0.15007605E+001  0.15007689E+001  0.15007774E+001  0.15007860E+001  0.15007947E+001  0.15008035E+001
  0.15008124E+001  0.15008214E+001  0.15008305E+001  0.15008396E+001  0.15008489E+001  0.15008583E+001
  0.15008678E+001  0.15008774E+001  0.15008871E+001  0.15008969E+001  0.15009068E+001  0.15009169E+001
  0.15009270E+001  0.15009372E+001  0.15009476E+001  0.15009581E+001  0.15009687E+001  0.15009794E+001
