  -0.23025851E+02   0.24415923E+10  -0.24411988E+10   0.24408055E+10
  -0.23002802E+02   0.23859686E+10  -0.23855927E+10   0.23844787E+10
  -0.22979753E+02   0.23316119E+10  -0.23312586E+10   0.23304042E+10
  -0.22956704E+02   0.22784933E+10  -0.22781597E+10   0.22773008E+10
  -0.22933655E+02   0.22265845E+10  -0.22262700E+10   0.22254731E+10
  -0.22910606E+02   0.21758580E+10  -0.21755614E+10   0.21748055E+10
  -0.22887558E+02   0.21262870E+10  -0.21260073E+10   0.21252947E+10
  -0.22864509E+02   0.20778451E+10  -0.20775814E+10   0.20769084E+10
  -0.22841460E+02   0.20305066E+10  -0.20302580E+10   0.20296227E+10
  -0.22818411E+02   0.19842464E+10  -0.19840120E+10   0.19834123E+10
  -0.22795362E+02   0.19390399E+10  -0.19388190E+10   0.19382528E+10
  -0.22772313E+02   0.18948632E+10  -0.18946549E+10   0.18941205E+10
  -0.22749264E+02   0.18516928E+10  -0.18514965E+10   0.18509920E+10
  -0.22726215E+02   0.18095057E+10  -0.18093207E+10   0.18088445E+10
  -0.22703166E+02   0.17682797E+10  -0.17681053E+10   0.17676558E+10
  -0.22680117E+02   0.17279928E+10  -0.17278285E+10   0.17274041E+10
  -0.22657069E+02   0.16886236E+10  -0.16884688E+10   0.16880682E+10
  -0.22634020E+02   0.16501512E+10  -0.16500054E+10   0.16496272E+10
  -0.22610971E+02   0.16125552E+10  -0.16124179E+10   0.16120609E+10
  -0.22587922E+02   0.15758157E+10  -0.15756863E+10   0.15753494E+10
  -0.22564873E+02   0.15399131E+10  -0.15397913E+10   0.15394732E+10
  -0.22541824E+02   0.15048284E+10  -0.15047137E+10   0.15044135E+10
  -0.22518775E+02   0.14705430E+10  -0.14704350E+10   0.14701516E+10
  -0.22495726E+02   0.14370386E+10  -0.14369370E+10   0.14366695E+10
  -0.22472677E+02   0.14042975E+10  -0.14042019E+10   0.14039494E+10
  -0.22449628E+02   0.13723023E+10  -0.13722123E+10   0.13719739E+10
  -0.22426580E+02   0.13410359E+10  -0.13409513E+10   0.13407263E+10
  -0.22403531E+02   0.13104819E+10  -0.13104023E+10   0.13101899E+10
  -0.22380482E+02   0.12806239E+10  -0.12805491E+10   0.12803486E+10
  -0.22357433E+02   0.12514462E+10  -0.12513758E+10   0.12511866E+10
  -0.22334384E+02   0.12229331E+10  -0.12228670E+10   0.12226884E+10
  -0.22311335E+02   0.11950697E+10  -0.11950076E+10   0.11948390E+10
  -0.22288286E+02   0.11678410E+10  -0.11677827E+10   0.11676236E+10
  -0.22265237E+02   0.11412327E+10  -0.11411780E+10   0.11410278E+10
  -0.22242188E+02   0.11152306E+10  -0.11151792E+10   0.11150374E+10
  -0.22219139E+02   0.10898209E+10  -0.10897726E+10   0.10896388E+10
  -0.22196091E+02   0.10649900E+10  -0.10649448E+10   0.10648185E+10
  -0.22173042E+02   0.10407249E+10  -0.10406825E+10   0.10405633E+10
  -0.22149993E+02   0.10170126E+10  -0.10169729E+10   0.10168604E+10
  -0.22126944E+02   0.99384054E+09  -0.99380334E+09   0.99369716E+09
  -0.22103895E+02   0.97119640E+09  -0.97116159E+09   0.97106136E+09
  -0.22080846E+02   0.94906816E+09  -0.94903559E+09   0.94894100E+09
  -0.22057797E+02   0.92744408E+09  -0.92741362E+09   0.92732435E+09
  -0.22034748E+02   0.90631265E+09  -0.90628420E+09   0.90619995E+09
  -0.22011699E+02   0.88566267E+09  -0.88563610E+09   0.88555659E+09
  -0.21988650E+02   0.86548316E+09  -0.86545838E+09   0.86538334E+09
  -0.21965602E+02   0.84576341E+09  -0.84574031E+09   0.84566949E+09
  -0.21942553E+02   0.82649295E+09  -0.82647143E+09   0.82640460E+09
